Processed_File_Name,Record_Name,Archdpdx_Migration_Id__c,Salesforce_Id,Processing_Result
photo000027.jpg,"St. Martin de Porres Mission, Dayton",Parishes_27,001Ps00000l54gmIAA,Skipped
photo000154.jpg,"St. Luke, Woodburn",Parishes_154,001Ps00000l5CVBIA2,Skipped
photo000115.jpg,"Nativity of the Blessed Virgin Mary, Rainier",Parishes_115,001Ps00000l5CUYIA2,Skipped
photo000051.jpg,"Our Lady of Lourdes, Jordan",Parishes_51,001Ps00000l54h9IAA,Skipped
photo000133.jpg,"St. Mary, Shaw",Parishes_133,001Ps00000l5CUqIAM,Skipped
photo000069.jpg,"Sacred Heart, Newport",Parishes_69,001Ps00000l5WNZIA2,Skipped
photo000086.jpg,"Sacred Heart, Portland",Parishes_86,001Ps00000l5CU5IAM,Skipped
photo000103.jpg,"St. Michael the Archangel, Portland",Parishes_103,001Ps00000l5CUMIA2,Skipped
noPhoto.png,N/A,N/A,,Invalid file name format
photo000073.jpg,"St. John the Apostle, Oregon City",Parishes_73,001Ps00000l5CTtIAM,Skipped
photo000054.jpg,"Our Lady of the Lake, Lake Oswego",Parishes_54,001Ps00000l54hCIAQ,Skipped
photo000108.jpg,"St. Rita, Portland",Parishes_108,001Ps00000l5CURIA2,Skipped
photo000096.jpg,"St. Ignatius, Portland",Parishes_96,001Ps00000l5CUFIA2,Skipped
photo000066.jpg,"All Souls, Myrtle Creek",Parishes_66,001Ps00000l54hOIAQ,Skipped
photo000147.jpg,"Resurrection, Tualatin",Parishes_147,001Ps00000l5CV4IAM,Skipped
photo000043.jpg,"St. Anne, Gresham",Parishes_43,001Ps00000l54h1IAA,Skipped
photo000084.jpg,"Our Lady of Sorrows, Portland",Parishes_84,001Ps00000l5CU4IAM,Skipped
photo000125.jpg,"St. Joseph, Salem",Parishes_125,001Ps00000l5CUiIAM,Skipped
photo000005.jpg,"Our Lady of the Mountain, Ashland",Parishes_5,001Ps00000l54gTIAQ,Skipped
photo000052.jpg,"St. Helen, Junction City",Parishes_52,001Ps00000l54hAIAQ,Skipped
photo000029.jpg,"St. Aloysius, Estacada",Parishes_29,001Ps00000l54goIAA,Skipped
photo000123.jpg,"St. Paul, Saint Paul",Parishes_123,001Ps00000l5CUgIAM,Skipped
photo000152.jpg,"St. John in the Woods Mission, Welches",Parishes_152,001Ps00000l5CV9IAM,Skipped
photo000153.jpg,"St. Cyril, Wilsonville",Parishes_153,001Ps00000l5CVAIA2,Skipped
photo000132.jpg,"Our Lady of Fatima, Shady Cove",Parishes_132,001Ps00000l5CUpIAM,Skipped
photo000009.jpg,"Holy Trinity, Beaverton",Parishes_9,001Ps00000l54gWIAQ,Skipped
photo000131.jpg,"Our Lady of Victory, Seaside",Parishes_131,001Ps00000l5CUoIAM,Skipped
photo000032.jpg,"St. Mary, Eugene",Parishes_32,001Ps00000l54grIAA,Skipped
photo000107.jpg,"St. Pius X, Portland",Parishes_107,001Ps00000l5CUQIA2,Skipped
photo000117.jpg,"St. John the Apostle, Reedsport",Parishes_117,001Ps00000l5CUaIAM,Skipped
photo000011.jpg,"St. Cecilia, Beaverton",Parishes_11,001Ps00000l54gXIAQ,Skipped
photo000155.jpg,"St. John the Evangelist, Yamhill",Parishes_155,001Ps00000l5CVCIA2,Skipped
photo000136.jpg,"Our Lady of Guadalupe Mission, Siletz",Parishes_136,001Ps00000l5CUtIAM,Skipped
photo000003.jpg,"St. Elizabeth Ann Seton, Aloha",Parishes_3,001Ps00000l54gRIAQ,Skipped
photo000037.jpg,"St. Anthony of Padua, Forest Grove",Parishes_37,001Ps00000l54gvIAA,Skipped
photo000087.jpg,"St. Agatha, Portland",Parishes_87,001Ps00000l5CU6IAM,Skipped
photo000075.jpg,"All Saints, Portland",Parishes_75,001Ps00000l5CTvIAM,Skipped
photo000068.jpg,"St. Peter, Newberg",Parishes_68,001Ps00000l54hQIAQ,Skipped
photo000074.jpg,"St. John the Baptist Mission, Port Orford",Parishes_74,001Ps00000l5CTuIAM,Skipped
photo000141.jpg,"Immaculate Conception, Stayton",Parishes_141,001Ps00000l5CUyIAM,Skipped
photo000062.jpg,"St. John the Baptist, Milwaukie",Parishes_62,001Ps00000l54hKIAQ,Skipped
photo000053.jpg,"St. Edward, Keizer",Parishes_53,001Ps00000l54hBIAQ,Skipped
photo000056.jpg,"St. Augustine, Lincoln City",Parishes_56,001Ps00000l54hEIAQ,Skipped
photo000121.jpg,"St. Francis of Assisi, Roy",Parishes_121,001Ps00000l5CUeIAM,Skipped
photo000049.jpg,"St. Joseph Mission, Jacksonville",Parishes_49,001Ps00000l54h7IAA,Skipped
photo000088.jpg,"St. Andre Bessette, Portland",Parishes_88,001Ps00000l5CU7IAM,Skipped
photo000021.jpg,"St. Alexander, Cornelius",Parishes_21,001Ps00000l54ghIAA,Skipped
photo000024.jpg,"Our Lady of Perpetual Help, Cottage Grove",Parishes_24,001Ps00000l54gjIAA,Skipped
photo000020.jpg,"Holy Name, Coquille",Parishes_20,001Ps00000l54ggIAA,Skipped
photo000099.jpg,"St. Joseph the Worker, Portland",Parishes_99,001Ps00000l5CUIIA2,Skipped
photo000100.jpg,"St. Juan Diego, Portland",Parishes_100,001Ps00000l5CUJIA2,Skipped
photo000017.jpg,"St. John the Baptist Mission, Clatskanie",Parishes_17,001Ps00000l54gdIAA,Skipped
photo000063.jpg,"St. James, Molalla",Parishes_63,001Ps00000l54hLIAQ,Skipped
photo000109.jpg,"St. Rose of Lima, Portland",Parishes_109,001Ps00000l5CUSIA2,Skipped
photo000026.jpg,"St. Philip, Dallas",Parishes_26,001Ps00000l54glIAA,Skipped
photo000080.jpg,"Holy Rosary, Portland",Parishes_80,001Ps00000l5CU0IAM,Skipped
photo000071.jpg,"St. Edward, North Plains",Parishes_71,001Ps00000l5CTrIAM,Skipped
photo000146.jpg,"Sacred Heart, Tillamook",Parishes_146,001Ps00000l5CV3IAM,Skipped
photo000151.jpg,"St. Anthony, Waldport",Parishes_151,001Ps00000l5CV8IAM,Skipped
photo000093.jpg,"St. Clare, Portland",Parishes_93,001Ps00000l5CUCIA2,Skipped
photo000001.jpg,"Our Lady of Perpetual Help, St Mary’s, Albany",Parishes_1,001Ps00000l54gPIAQ,Skipped
photo000092.jpg,"St. Charles Borromeo, Portland",Parishes_92,001Ps00000l5CUBIA2,Skipped
photo000059.jpg,"Sacred Heart, Medford",Parishes_59,001Ps00000l54hHIAQ,Skipped
photo000039.jpg,"Holy Family Mission, Glendale",Parishes_39,001Ps00000l54gxIAA,Skipped
photo000034.jpg,"St. Peter, Eugene",Parishes_34,001Ps00000l54gtIAA,Skipped
photo000130.jpg,"Holy Rosary Mission, Scotts Mills",Parishes_130,001Ps00000l5CUnIAM,Skipped
photo000089.jpg,"St. Andrew, Portland",Parishes_89,001Ps00000l5CU8IAM,Skipped
photo000076.jpg,"Ascension, Portland",Parishes_76,001Ps00000l5CTwIAM,Skipped
photo000112.jpg,"St. Stephen, Portland",Parishes_112,001Ps00000l5CUVIA2,Skipped
photo000142.jpg,"St. Boniface, Sublimity",Parishes_142,001Ps00000l5CUzIAM,Skipped
photo000055.jpg,"St. Edward, Lebanon",Parishes_55,001Ps00000l54hDIAQ,Skipped
photo000057.jpg,"St. Patrick Mission, Lyons",Parishes_57,001Ps00000l54hFIAQ,Skipped
photo000098.jpg,"St. John Fisher, Portland",Parishes_98,001Ps00000l5CUHIA2,Skipped
photo000070.jpg,"Holy Redeemer, North Bend",Parishes_70,001Ps00000l5WNaIAM,Skipped
photo000019.jpg,"St. Monica, Coos Bay",Parishes_19,001Ps00000l54gfIAA,Skipped
photo000137.jpg,"St. Paul, Silverton",Parishes_137,001Ps00000l5CUuIAM,Skipped
photo000114.jpg,"St. Thomas More, Portland",Parishes_114,001Ps00000l5CUXIA2,Skipped
photo000038.jpg,"Sacred Heart, Gervais",Parishes_38,001Ps00000l54gwIAA,Skipped
photo000046.jpg,"St. Matthew, Hillsboro",Parishes_46,001Ps00000l54h4IAA,Skipped
photo000045.jpg,"St. Francis de Sales Mission, Hammond",Parishes_45,001Ps00000l54h3IAA,Skipped
photo000149.jpg,"Visitation of the Blessed Virgin Mary, Verboort",Parishes_149,001Ps00000l5CV6IAM,Skipped
photo000078.jpg,"Holy Family, Portland",Parishes_78,001Ps00000l5CTyIAM,Skipped
photo000031.jpg,"St. Mark, Eugene",Parishes_31,001Ps00000l54gqIAA,Skipped
photo000036.jpg,"St. Mary, Our Lady of the Dunes, Florence",Parishes_36,001Ps00000l54guIAA,Skipped
photo000126.jpg,"St. Vincent de Paul, Salem",Parishes_126,001Ps00000l5CUjIAM,Skipped
photo000139.jpg,"St. Alice, Springfield",Parishes_139,001Ps00000l5CUwIAM,Skipped
photo000097.jpg,"St. Irene the Virgin and Great Martyr, Portland",Parishes_97,001Ps00000l5CUGIA2,Skipped
photo000102.jpg,"The Madeleine, Portland",Parishes_102,001Ps00000l5CULIA2,Skipped
photo000144.jpg,"St. Helen, Sweet Home",Parishes_144,001Ps00000l5CV1IAM,Skipped
photo000091.jpg,"St. Birgitta, Portland",Parishes_91,001Ps00000l5CUAIA2,Skipped
photo000082.jpg,"Korean Martyrs, Portland",Parishes_82,001Ps00000l5CU2IAM,Skipped
photo000065.jpg,"St. Mary, Mount Angel",Parishes_65,001Ps00000l54hNIAQ,Skipped
