Batch Number,Record,Success,Error
1,"{""mbfc__Person__c"": null, ""mbfc__Completion_Date__c"": ""2012-01-01"", ""mbfc__Context__c"": ""001Ps00000l5kOZIAY"", ""mbfc__Category__c"": ""Education/Studies"", ""mbfc__Affiliation__c"": ""Master of Divinity"", ""RecordTypeId"": ""012Ps000002fU2pIAE"", ""Archdpdx_Migration_Id__c"": ""none20120101masterofdivinity""}",False,"[{""statusCode"": ""INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST"", ""message"": ""Category: bad value for restricted picklist field: Education/Studies"", ""fields"": [""mbfc__Category__c""]}]"
1,"{""mbfc__Person__c"": ""003Ps00000frjvRIAQ"", ""mbfc__Completion_Date__c"": ""2014-01-01"", ""mbfc__Context__c"": ""001Ps00000l5pWgIAI"", ""mbfc__Category__c"": ""Education/Studies"", ""mbfc__Affiliation__c"": ""History & Spanish"", ""RecordTypeId"": ""012Ps000002fU2pIAE"", ""Archdpdx_Migration_Id__c"": ""003ps00000frjvriaq20140101history&spanish""}",False,"[{""statusCode"": ""INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST"", ""message"": ""Category: bad value for restricted picklist field: Education/Studies"", ""fields"": [""mbfc__Category__c""]}]"
1,"{""mbfc__Person__c"": ""003Ps00000frjvRIAQ"", ""mbfc__Completion_Date__c"": ""2016-01-01"", ""mbfc__Context__c"": ""001Ps00000l5NAeIAM"", ""mbfc__Category__c"": ""Education/Studies"", ""mbfc__Affiliation__c"": ""MA Philosophy"", ""RecordTypeId"": ""012Ps000002fU2pIAE"", ""Archdpdx_Migration_Id__c"": ""003ps00000frjvriaq20160101maphilosophy""}",False,"[{""statusCode"": ""INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST"", ""message"": ""Category: bad value for restricted picklist field: Education/Studies"", ""fields"": [""mbfc__Category__c""]}]"
1,"{""mbfc__Person__c"": ""003Ps00000frjvYIAQ"", ""mbfc__Completion_Date__c"": ""1973-01-01"", ""mbfc__Context__c"": ""001Ps00000l5Mo5IAE"", ""mbfc__Category__c"": ""Education/Studies"", ""mbfc__Affiliation__c"": ""Education"", ""RecordTypeId"": ""012Ps000002fU2pIAE"", ""Archdpdx_Migration_Id__c"": ""003ps00000frjvyiaq19730101education""}",False,"[{""statusCode"": ""INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST"", ""message"": ""Category: bad value for restricted picklist field: Education/Studies"", ""fields"": [""mbfc__Category__c""]}]"
1,"{""mbfc__Person__c"": ""003Ps00000frjvYIAQ"", ""mbfc__Completion_Date__c"": ""1983-01-01"", ""mbfc__Context__c"": ""001Ps00000l5uJRIAY"", ""mbfc__Category__c"": ""Education/Studies"", ""mbfc__Affiliation__c"": ""Masters of Divinity"", ""RecordTypeId"": ""012Ps000002fU2pIAE"", ""Archdpdx_Migration_Id__c"": ""003ps00000frjvyiaq19830101mastersofdivinity""}",False,"[{""statusCode"": ""INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST"", ""message"": ""Category: bad value for restricted picklist field: Education/Studies"", ""fields"": [""mbfc__Category__c""]}]"
1,"{""mbfc__Person__c"": ""003Ps00000frjveIAA"", ""mbfc__Completion_Date__c"": ""2007-01-01"", ""mbfc__Context__c"": ""001Ps00000l5NAfIAM"", ""mbfc__Category__c"": ""Education/Studies"", ""mbfc__Affiliation__c"": ""Theology"", ""RecordTypeId"": ""012Ps000002fU2pIAE"", ""Archdpdx_Migration_Id__c"": ""003ps00000frjveiaa20070101theology""}",False,"[{""statusCode"": ""INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST"", ""message"": ""Category: bad value for restricted picklist field: Education/Studies"", ""fields"": [""mbfc__Category__c""]}]"
1,"{""mbfc__Person__c"": ""003Ps00000frjveIAA"", ""mbfc__Completion_Date__c"": ""2014-01-01"", ""mbfc__Context__c"": ""001Ps00000l52RGIAY"", ""mbfc__Category__c"": ""Education/Studies"", ""mbfc__Affiliation__c"": ""MA Theology"", ""RecordTypeId"": ""012Ps000002fU2pIAE"", ""Archdpdx_Migration_Id__c"": ""003ps00000frjveiaa20140101matheology""}",False,"[{""statusCode"": ""INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST"", ""message"": ""Category: bad value for restricted picklist field: Education/Studies"", ""fields"": [""mbfc__Category__c""]}]"
1,"{""mbfc__Person__c"": ""003Ps00000frjveIAA"", ""mbfc__Completion_Date__c"": ""2015-01-01"", ""mbfc__Context__c"": ""001Ps00000l5g5DIAQ"", ""mbfc__Category__c"": ""Education/Studies"", ""mbfc__Affiliation__c"": ""JCL"", ""RecordTypeId"": ""012Ps000002fU2pIAE"", ""Archdpdx_Migration_Id__c"": ""003ps00000frjveiaa20150101jcl""}",False,"[{""statusCode"": ""INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST"", ""message"": ""Category: bad value for restricted picklist field: Education/Studies"", ""fields"": [""mbfc__Category__c""]}]"
1,"{""mbfc__Person__c"": ""003Ps00000frjveIAA"", ""mbfc__Completion_Date__c"": ""2018-01-01"", ""mbfc__Context__c"": ""001Ps00000l5hisIAA"", ""mbfc__Category__c"": ""Education/Studies"", ""mbfc__Affiliation__c"": ""STL"", ""RecordTypeId"": ""012Ps000002fU2pIAE"", ""Archdpdx_Migration_Id__c"": ""003ps00000frjveiaa20180101stl""}",False,"[{""statusCode"": ""INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST"", ""message"": ""Category: bad value for restricted picklist field: Education/Studies"", ""fields"": [""mbfc__Category__c""]}]"
1,"{""mbfc__Person__c"": ""003Ps00000frjveIAA"", ""mbfc__Completion_Date__c"": ""2019-01-01"", ""mbfc__Context__c"": ""001Ps00000l5hisIAA"", ""mbfc__Category__c"": ""Education/Studies"", ""mbfc__Affiliation__c"": ""STD"", ""RecordTypeId"": ""012Ps000002fU2pIAE"", ""Archdpdx_Migration_Id__c"": ""003ps00000frjveiaa20190101std""}",False,"[{""statusCode"": ""INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST"", ""message"": ""Category: bad value for restricted picklist field: Education/Studies"", ""fields"": [""mbfc__Category__c""]}]"
