,mbfc__Event_Date__c,mbfc__Location_text__c,mbfc__Notation_Type__c,mbfc__Register_Entry_Type__c,mbfc__Ordination_Type__c,mbfc__Celebrant__c,mbfc__Contact__c,Archdpdx_Job_Id__c,Archdpdx_Migration_Id__c
826,2012-06-09,,Notice of Holy Orders,Notation,Presbyteral,,003Dx00000nKixvIAC,124,3074_Notation_NoticeofHolyOrdersPresbyteral
827,1961-02-04,,Notice of Matrimony,Notation,,,003Dx00000nKixwIAC,124,27_Notation_NoticeofMatrimonynan
828,1948-01-29,"St. John of the Woods, Tacoma WA",Proof of Baptism,Notation,,,003Dx00000nKixxIAC,124,45_Notation_ProofofBaptismnan
829,1961-02-04,,Notice of Matrimony,Notation,,,003Dx00000nKixxIAC,124,45_Notation_NoticeofMatrimonynan
830,2002-11-23,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKixxIAC,124,45_Notation_NoticeofHolyOrdersDiaconate
831,1962-08-19,"St. Gregory Catholic Church, Phoenix, AZ",Proof of Baptism,Notation,,,003Dx00000nKixzIAC,124,2046_Notation_ProofofBaptismnan
832,1974-05-02,"St. Theresa Parish, Phoenix, AZ",Notice of Confirmation,Notation,,,003Dx00000nKixzIAC,124,2046_Notation_NoticeofConfirmationnan
833,2002-08-24,,Notice of Matrimony,Notation,,,003Dx00000nKixzIAC,124,2046_Notation_NoticeofMatrimonynan
834,1991-06-30,"Diocese of Moshi, Tanzania",Notice of Holy Orders,Notation,Presbyteral,,003Dx00000nKiy2IAC,124,805_Notation_NoticeofHolyOrdersPresbyteral
835,1994-08-20,,Notice of Matrimony,Notation,,,003Dx00000nKiy8IAC,124,15_Notation_NoticeofMatrimonynan
836,1971-07-01,"Sacred Heart Catholic Church, Uru Parish, Moshi Diocese, Tanzania",Proof of Baptism,Notation,,,003Dx00000nKiyAIAS,124,566_Notation_ProofofBaptismnan
837,1983-11-06,,Notice of Confirmation,Notation,,,003Dx00000nKiyAIAS,124,566_Notation_NoticeofConfirmationnan
838,2001-11-30,"Apostles of Jesus, Sacred Heart Shrine, Lang’ata, Nairobi, Kenya.",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKiyAIAS,124,566_Notation_NoticeofHolyOrdersDiaconate
839,2002-07-12,"Christ the King Cathedral, Moshi Diocese, Tanzania",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjZBIA0,003Dx00000nKiyAIAS,124,566_Notation_NoticeofHolyOrdersPresbyteral
